Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,"45,423",20.6038728
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,"106,869",48.4757784
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Cargo,Passenger,"55,427",25.1416872
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Mail,Passenger,"50,278",22.8061008
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Cargo,Passenger,"74,183",33.6494088
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Mail,Passenger,"347,558",157.6523088
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,"47,025",21.33054
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,"7,234",3.2813424
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,"29,762",13.5000432
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,"37,291",16.9151976
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,"6,707",3.0422952
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,"67,831",30.7681416
200507,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,"1,127,590",511.474824
200507,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,"353,098",160.1652528
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,"464,002",210.4713072
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,"38,810",17.604216
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,"423,069",191.9040984
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,"100,001",45.3604536
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,"317,156",143.8619616
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,"11,548",5.2381728
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,"221,652",100.5413472
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,"153,748",69.7400928
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,"3,713",1.6842168
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,"295,930",134.233848
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,"3,367",1.5272712
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,"28,705",13.020588
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Cargo,Passenger,"34,206",15.5158416
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Cargo,Passenger,"21,031",9.5396616
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Mail,Passenger,"48,979",22.2168744
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Cargo,Passenger,"99,222",45.0070992
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Express,Passenger,140,0.063504
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Cargo,Passenger,"16,838",7.6377168
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,"820,116",372.0046176
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,"95,590",43.359624
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,"347,156",157.4699616
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Mail,Passenger,"190,201",86.2751736
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,"1,745,713",791.8554168
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,"394,829",179.0944344
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,"2,610,403","1,184.078801"
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,"867,692",393.5850912
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Cargo,Freighter,"46,448",21.0688128
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Cargo,Freighter,"13,271",6.0197256
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,"377,597",171.2779992
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,"646,310",293.166216
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,"392,733",178.1436888
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,"672,216",304.9171776
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Deplaned,Cargo,Freighter,"1,159,652",526.0181472
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Enplaned,Cargo,Freighter,"1,535,268",696.3975648
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,11,0.0049896
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,"1,021,909",463.5379224
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,"15,096",6.8475456
200507,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,"776,831",352.3705416
200507,Cargolux Airlines,CV,Cargolux Airlines,CV,International,Europe,Deplaned,Cargo,Freighter,"1,029,715",467.078724
200507,Cargolux Airlines,CV,Cargolux Airlines,CV,International,Europe,Enplaned,Cargo,Freighter,"786,402",356.7119472
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Freighter,"920,693",417.6263448
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,"241,333",109.4686488
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,"129,473",58.7289528
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Freighter,"1,110,414",503.6837904
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,"251,430",114.048648
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Express,Passenger,3,0.0013608
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Mail,Passenger,"251,430",114.048648
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,"2,108,144",956.2541184
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,"66,167",30.0133512
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,"2,065,410",936.869976
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Freighter,"47,294",21.4525584
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Deplaned,Cargo,Freighter,"315,657",143.1820152
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Enplaned,Cargo,Freighter,"403,914",183.2153904
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,"722,328",327.6479808
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Express,Passenger,"531,960",241.297056
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,"160,118",72.6295248
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,"64,769",29.3792184
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Express,Passenger,"1,481,410",671.967576
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,"213,104",96.6639744
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Combi,"3,343,546","1,516.632466"
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,"97,764",44.3457504
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Combi,"2,123,959",963.4278024
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,"62,104",28.1703744
200507,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Deplaned,Cargo,Freighter,"215,807",97.8900552
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,"8,985,408","4,075.781069"
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,"7,879,802","3,574.278187"
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,"37,720",17.109792
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,"11,381",5.1624216
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Cargo,Passenger,"79,810",36.201816
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Express,Passenger,"1,664",0.7547904
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,"147,814",67.0484304
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,"420,021",190.5215256
200507,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,"26,270",11.916072
200507,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,"5,330",2.417688
200507,Icelandair (Inactive),FI,Icelandair (Inactive),FI,International,Europe,Deplaned,Cargo,Passenger,"11,856",5.3778816
200507,Icelandair (Inactive),FI,Icelandair (Inactive),FI,International,Europe,Enplaned,Cargo,Passenger,"82,208",37.2895488
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Freighter,"1,464,911",664.4836296
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,"490,152",222.3329472
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Freighter,"168,662",76.5050832
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,"56,433",25.5980088
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Freighter,"1,554,286",705.0241296
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,"520,057",235.8978552
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Freighter,"186,902",84.7787472
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,"62,537",28.3667832
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,"702,079",318.4630344
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,"141,422",64.1490192
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,"611,446",277.3519056
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,"138,573",62.8567128
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Deplaned,Cargo,Freighter,"922,919",418.6360584
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,"773,224",350.7344064
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Deplaned,Cargo,Freighter,"551,563",250.1889768
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Enplaned,Cargo,Freighter,"580,231",263.1927816
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,"1,718,657",779.5828152
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,"563,990",255.825864
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Freighter,"48,128",21.8308608
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,"15,794",7.1641584
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,"15,433",7.0004088
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,"5,065",2.297484
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,"1,356,880",615.480768
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,"445,270",201.974472
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Freighter,"7,570",3.433752
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Passenger,"2,484",1.1267424
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,"910,330",412.925688
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,"21,290",9.657144
