Latitude,Longitude,City,Population,Total officers,Total civilians,Violent crime,Murder and nonnegligent manslaughter,Aggravated assault,Burglary,Arson
37.765206,-122.24163600000001,Alameda,"78,613",83,29,148,2,78,228,18
37.886869,-122.297747,Albany,"19,723",23,7,34,1,11,95,0
40.448208,-122.29778300000001,Anderson,"10,277",18,6,88,0,75,60,2
38.004922,-121.80578899999999,Antioch,"110,537",91,24,771,7,431,862,36
34.139728000000005,-118.035344,Arcadia,"58,694",68,25,68,1,30,316,3
35.2018,-118.833106,Arvin,"20,902",22,7,149,3,131,143,16
37.347716999999996,-120.60908300000001,Atwater,"29,219",30,7,197,3,160,167,10
38.896564,-121.076889,Auburn,"14,118",19,7,45,0,36,56,0
34.133619,-117.907564,Azusa,"49,431",59,34,173,2,109,232,7
35.373292,-119.01871100000001,Bakersfield,"373,887",388,154,"1,810",22,"1,062","3,877",339
33.925571999999995,-116.876411,Banning,"31,030",25,14,197,8,131,248,0
34.895796999999995,-117.017283,Barstow,"23,700",37,17,283,2,199,447,15
33.929460999999996,-116.97724699999999,Beaumont,"43,626",36,20,138,1,99,157,4
33.977514,-118.187017,Bell,"36,395",29,8,221,1,133,194,0
37.520214,-122.2758,Belmont,"27,377",31,13,26,1,17,65,2
37.872703,-122.464417,Belvedere,"2,144",7,1,0,0,0,3,0
37.871592,-122.272747,Berkeley,"120,387",172,88,530,1,155,"1,090",22
33.617233,-114.589175,Blythe,"18,961",20,10,90,1,60,293,23
34.057361,-118.480511,Brentwood,"58,398",65,15,110,0,50,158,7
37.680766999999996,-122.39997199999999,Brisbane,"4,696",16,3,9,0,7,36,0
34.180839,-118.308967,Burbank,"105,865",146,80,159,1,98,297,13
37.584103000000006,-122.366083,Burlingame,"30,672",37,18,45,1,27,192,2
35.1258,-117.98590300000001,California City,"13,218",21,11,121,0,96,270,1
38.578796999999994,-122.579706,Calistoga,"5,338",8,4,11,1,7,10,1
37.287164000000004,-121.94995800000001,Campbell,"41,544",40,23,88,1,46,247,14
36.975228,-121.95329199999999,Capitola,"10,201",21,8,28,0,14,41,1
33.158091999999996,-117.350594,Carlsbad,"113,972",105,47,172,0,101,366,8
33.779742,-116.46529199999999,Cathedral City,"53,947",46,21,117,3,52,327,4
37.594933000000005,-120.957711,Ceres,"47,693",47,16,122,0,57,232,4
34.012236,-117.68894399999999,Chino,"86,344",105,50,221,0,147,375,9
37.123000000000005,-120.260175,Chowchilla,"18,978",16,7,74,0,68,91,7
32.640053,-117.084197,Chula Vista,"265,215",217,86,705,6,397,710,27
38.707125,-121.28106100000001,Citrus Heights,"86,853",86,46,385,4,232,375,6
37.941033000000004,-121.93579199999999,Clayton,"11,879",10,1,11,0,9,26,1
38.805461,-123.017222,Cloverdale,"8,839",12,7,15,0,8,22,0
36.825228,-119.702919,Clovis,"103,769",96,59,239,1,142,420,5
36.139678,-120.36015,Coalinga,"16,073",20,11,105,0,91,85,11
34.073903,-117.31365600000001,Colton,"54,503",51,27,185,3,94,361,3
37.977978,-122.031072,Concord,"128,767",152,54,491,4,276,594,8
39.927658,-122.179156,Corning,"7,527",13,7,44,0,37,74,6
33.875294,-117.56643899999999,Corona,"163,633",157,65,212,5,79,615,13
32.685885999999996,-117.183089,Coronado,"25,138",42,20,26,0,20,55,3
38.327778,-122.709167,Cotati,"7,469",11,6,32,0,21,32,1
34.021122,-118.39646699999999,Culver City,"39,890",103,46,156,0,74,214,0
37.687925,-122.47020800000001,Daly City,"107,320",112,39,234,0,119,320,8
38.544906,-121.740517,Davis,"67,034",56,36,95,2,37,281,9
35.768842,-119.24705300000001,Delano,"52,534",51,17,219,4,154,267,26
36.593292,-121.834953,Del Rey Oaks,"1,696",6,0,5,0,3,7,0
33.961125,-116.501678,Desert Hot Springs,"28,416",22,4,232,7,147,459,9
38.445464,-121.823297,Dixon,"19,357",21,5,54,1,34,77,0
36.986058,-120.626572,Dos Palos,"5,112",7,1,50,1,39,51,0
32.794771999999995,-116.962528,El Cajon,"103,942",118,63,360,2,201,387,15
37.916133,-122.31076399999999,El Cerrito,"24,842",40,8,97,1,26,211,2
38.4088,-121.37161699999999,Elk Grove,"166,183",124,81,586,1,447,589,4
37.797428000000004,-120.99660300000001,Escalon,"7,449",10,1,11,0,10,37,0
33.119208,-117.086422,Escondido,"151,732",148,50,529,7,298,479,15
38.249358,-122.03996699999999,Fairfield,"112,582",116,62,486,8,265,456,30
36.297728,-119.206778,Farmersville,"10,835",15,1,32,0,21,41,0
36.858839,-120.45600800000001,Firebaugh,"8,484",11,4,53,0,37,23,1
38.677958000000004,-121.17605800000001,Folsom,"76,183",67,22,71,1,40,210,6
34.092233,-117.435047,Fontana,"206,982",185,89,804,3,542,764,12
39.445721999999996,-123.805292,Fort Bragg,"7,310",15,5,33,0,26,30,3
36.630506,-119.67846899999999,Fowler,"6,144",12,1,46,0,34,46,4
37.548269,-121.98857199999999,Fremont,"232,427",180,100,337,2,135,913,14
36.746842,-119.772586,Fresno,"520,837",702,257,"2,871",39,"1,653","4,429",255
38.254636,-121.299947,Galt,"25,106",36,12,70,1,45,94,5
37.005783,-121.568275,Gilroy,"53,467",61,30,192,2,111,262,16
36.506628000000006,-121.444381,Gonzales,"8,507",10,3,39,0,33,32,0
39.219060999999996,-121.06106100000001,Grass Valley,"12,883",24,3,115,0,103,123,5
36.3208,-121.24381399999999,Greenfield,"17,061",16,2,101,2,70,88,5
34.971644,-120.571836,Guadalupe,"7,318",11,2,9,0,7,26,0
37.257717,-120.998814,Gustine,"5,726",9,2,25,0,23,52,0
37.668819,-122.080797,Hayward,"157,157",174,114,556,10,177,729,30
33.747519,-116.97196699999999,Hemet,"84,030",65,24,605,10,388,908,10
38.017144,-122.28858100000001,Hercules,"25,326",21,3,31,1,17,113,0
36.852453000000004,-121.40160300000001,Hollister,"37,604",27,6,137,0,102,117,4
33.660297,-117.999225,Huntington Beach,"203,233",210,120,420,0,251,723,23
33.981681,-118.225072,Huntington Park,"59,668",56,34,386,1,173,176,14
36.202731,-120.10291699999999,Huron,"6,818",4,2,38,1,27,14,5
